,rt,response,baseimg0,baseimg1,recording0,recording1,obj_name,worldtype,sim_x_result,obj_cond,bg_cond,world,cond,count,img0,img1,background_color_idx,background_color,pid,answer,img
0,33190,29,assets/targets/lh_hl_unlink_plinko_0036/col_late_foreground_0.jpg,assets/targets/lh_hl_unlink_plinko_0036/col_late_foreground_1.jpg,assets/targets/lh_hl_unlink_plinko_0036/col_late_foreground_0.mp4,assets/targets/lh_hl_unlink_plinko_0036/col_late_foreground_1.mp4,bottombump_2,definite,276.9182386483981,col_late,foreground,lh_hl_unlink_plinko_0036,col_late,0,assets/targets/lh_hl_unlink_plinko_0036/col_late_background_memory_1_0.jpg,assets/targets/lh_hl_unlink_plinko_0036/col_late_background_memory_1_1.jpg,1,blue,55bc8f61fdf99b064522525c,0,assets/targets/lh_hl_unlink_plinko_0036/col_late_background_memory_1_1.jpg
1,18327,62,assets/targets/lh_ll_unlink_plinko_0060/col_early_background_0.jpg,assets/targets/lh_ll_unlink_plinko_0060/col_early_background_1.jpg,assets/targets/lh_ll_unlink_plinko_0060/col_early_background_0.mp4,assets/targets/lh_ll_unlink_plinko_0060/col_early_background_1.mp4,topbump_4,definite,537.3194495699454,col_early,background,lh_ll_unlink_plinko_0060,col_early,0,assets/targets/lh_ll_unlink_plinko_0060/col_early_background_memory_1_0.jpg,assets/targets/lh_ll_unlink_plinko_0060/col_early_background_memory_1_1.jpg,1,blue,55bc8f61fdf99b064522525c,0,assets/targets/lh_ll_unlink_plinko_0060/col_early_background_memory_1_1.jpg
2,13120,50,assets/targets/lh_hl_unlink_plinko_0110/col_late_background_0.jpg,assets/targets/lh_hl_unlink_plinko_0110/col_late_background_1.jpg,assets/targets/lh_hl_unlink_plinko_0110/col_late_background_0.mp4,assets/targets/lh_hl_unlink_plinko_0110/col_late_background_1.mp4,bottombump_0,definite,579.1184681837389,col_late,background,lh_hl_unlink_plinko_0110,col_late,0,assets/targets/lh_hl_unlink_plinko_0110/col_late_background_memory_1_0.jpg,assets/targets/lh_hl_unlink_plinko_0110/col_late_background_memory_1_1.jpg,1,blue,55bc8f61fdf99b064522525c,1,assets/targets/lh_hl_unlink_plinko_0110/col_late_background_memory_1_0.jpg
3,8207,45,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_0.jpg,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_1.jpg,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_0.mp4,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_1.mp4,bottombump_0,maybe,66.58860255831411,maybecol,background,hh_hl_unlink_plinko_0105,maybecol,0,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_memory_1_0.jpg,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_memory_1_1.jpg,1,blue,55bc8f61fdf99b064522525c,0,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_memory_1_1.jpg
4,7415,61,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_0.jpg,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_1.jpg,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_0.mp4,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_1.mp4,bottombump_1,definite,417.48815538692185,col_late,background,lh_ll_unlink_plinko_0217,col_late,0,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_memory_1_0.jpg,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_memory_1_1.jpg,1,blue,55bc8f61fdf99b064522525c,1,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_memory_1_0.jpg
5,8027,75,assets/targets/hh_hl_unlink_plinko_0202/nocol_background_0.jpg,assets/targets/hh_hl_unlink_plinko_0202/nocol_background_1.jpg,assets/targets/hh_hl_unlink_plinko_0202/nocol_background_0.mp4,assets/targets/hh_hl_unlink_plinko_0202/nocol_background_1.mp4,topbump_2,maybe,342.13035420543804,nocol,background,hh_hl_unlink_plinko_0202,nocol,0,assets/targets/hh_hl_unlink_plinko_0202/nocol_background_memory_1_0.jpg,assets/targets/hh_hl_unlink_plinko_0202/nocol_background_memory_1_1.jpg,1,blue,55bc8f61fdf99b064522525c,1,assets/targets/hh_hl_unlink_plinko_0202/nocol_background_memory_1_0.jpg
6,3864,50,assets/targets/hh_hl_unlink_plinko_0315/maybecol_background_0.jpg,assets/targets/hh_hl_unlink_plinko_0315/maybecol_background_1.jpg,assets/targets/hh_hl_unlink_plinko_0315/maybecol_background_0.mp4,assets/targets/hh_hl_unlink_plinko_0315/maybecol_background_1.mp4,bottombump_1,maybe,425.00795682087204,maybecol,background,hh_hl_unlink_plinko_0315,maybecol,0,assets/targets/hh_hl_unlink_plinko_0315/maybecol_background_memory_1_0.jpg,assets/targets/hh_hl_unlink_plinko_0315/maybecol_background_memory_1_1.jpg,1,blue,55bc8f61fdf99b064522525c,1,assets/targets/hh_hl_unlink_plinko_0315/maybecol_background_memory_1_0.jpg
7,3748,50,assets/targets/hh_hl_unlink_plinko_0393/nocol_foreground_0.jpg,assets/targets/hh_hl_unlink_plinko_0393/nocol_foreground_1.jpg,assets/targets/hh_hl_unlink_plinko_0393/nocol_foreground_0.mp4,assets/targets/hh_hl_unlink_plinko_0393/nocol_foreground_1.mp4,topbump_3,maybe,321.6282360134022,nocol,foreground,hh_hl_unlink_plinko_0393,nocol,0,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_memory_1_0.jpg,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_memory_1_1.jpg,1,blue,55bc8f61fdf99b064522525c,1,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_memory_1_0.jpg
8,8732,55,assets/targets/lh_ll_unlink_plinko_0091/col_early_background_0.jpg,assets/targets/lh_ll_unlink_plinko_0091/col_early_background_1.jpg,assets/targets/lh_ll_unlink_plinko_0091/col_early_background_0.mp4,assets/targets/lh_ll_unlink_plinko_0091/col_early_background_1.mp4,topbump_2,definite,341.0,col_early,background,lh_ll_unlink_plinko_0091,col_early,0,assets/targets/lh_ll_unlink_plinko_0091/col_early_background_memory_1_0.jpg,assets/targets/lh_ll_unlink_plinko_0091/col_early_background_memory_1_1.jpg,1,blue,55bc8f61fdf99b064522525c,0,assets/targets/lh_ll_unlink_plinko_0091/col_early_background_memory_1_1.jpg
9,9267,50,assets/targets/lh_ll_unlink_plinko_0155/nocol_foreground_0.jpg,assets/targets/lh_ll_unlink_plinko_0155/nocol_foreground_1.jpg,assets/targets/lh_ll_unlink_plinko_0155/nocol_foreground_0.mp4,assets/targets/lh_ll_unlink_plinko_0155/nocol_foreground_1.mp4,bottombump_1,definite,486.19575377717797,nocol,foreground,lh_ll_unlink_plinko_0155,nocol,0,assets/targets/lh_ll_unlink_plinko_0155/nocol_background_memory_1_0.jpg,assets/targets/lh_ll_unlink_plinko_0155/nocol_background_memory_1_1.jpg,1,blue,55bc8f61fdf99b064522525c,1,assets/targets/lh_ll_unlink_plinko_0155/nocol_background_memory_1_0.jpg
