trial,rt,response,world,img1_1,img1_2,img2_1,img2_2,recording1_1,recording1_2,recording2_1,recording2_2,sim_x_result1,sim_x_result2,filler,color0_probe_img1,color1_probe_img0,color1_probe_img1,color0_probe_img0,probe_obj,probe_obj_idx,probe_shift_id,worldtype,teleporter_entry_color_idx,teleporter_entry_color,pid,answer,img,counterbalance_id,correct_conf,correct
0,22092,0,0064,assets/targets/0064/img1_1.png,assets/targets/0064/img1_2.png,assets/targets/0064/img2_1.png,assets/targets/0064/img2_2.png,assets/targets/0064/recording1_1.mp4,assets/targets/0064/recording1_2.mp4,assets/targets/0064/recording2_1.mp4,assets/targets/0064/recording2_2.mp4,572.435126403118,233.99006146723664,False,assets/targets/0064/outlinestim_world1_probe2_1_1.png,assets/targets/0064/outlinestim_world2_probe2_1_0.png,assets/targets/0064/outlinestim_world2_probe2_1_1.png,assets/targets/0064/outlinestim_world1_probe2_1_0.png,noteleport_consistent,2,1,1,1,blue,6706711991ae8afb4667b089,0,assets/targets/0064/outlinestim_world2_probe2_1_1.png,1,100,True
1,24446,49,0091,assets/targets/0091/img1_1.png,assets/targets/0091/img1_2.png,assets/targets/0091/img2_1.png,assets/targets/0091/img2_2.png,assets/targets/0091/recording1_1.mp4,assets/targets/0091/recording1_2.mp4,assets/targets/0091/recording2_1.mp4,assets/targets/0091/recording2_2.mp4,360.26329222466995,232.43135081432789,False,assets/targets/0091/outlinestim_world1_probe0_1_1.png,assets/targets/0091/outlinestim_world2_probe0_1_0.png,assets/targets/0091/outlinestim_world2_probe0_1_1.png,assets/targets/0091/outlinestim_world1_probe0_1_0.png,nocol,0,1,1,1,blue,6706711991ae8afb4667b089,0,assets/targets/0091/outlinestim_world2_probe0_1_1.png,1,51,True
2,9078,0,0052,assets/targets/0052/img1_1.png,assets/targets/0052/img1_2.png,assets/targets/0052/img2_1.png,assets/targets/0052/img2_2.png,assets/targets/0052/recording1_1.mp4,assets/targets/0052/recording1_2.mp4,assets/targets/0052/recording2_1.mp4,assets/targets/0052/recording2_2.mp4,570.2567171334038,231.9134273051645,False,assets/targets/0052/outlinestim_world1_probe1_2_1.png,assets/targets/0052/outlinestim_world2_probe1_2_0.png,assets/targets/0052/outlinestim_world2_probe1_2_1.png,assets/targets/0052/outlinestim_world1_probe1_2_0.png,teleport_consistent,1,2,2,1,blue,6706711991ae8afb4667b089,1,assets/targets/0052/outlinestim_world1_probe1_2_0.png,0,0,False
3,5116,0,0045,assets/targets/0045/img1_1.png,assets/targets/0045/img1_2.png,assets/targets/0045/img2_1.png,assets/targets/0045/img2_2.png,assets/targets/0045/recording1_1.mp4,assets/targets/0045/recording1_2.mp4,assets/targets/0045/recording2_1.mp4,assets/targets/0045/recording2_2.mp4,436.6559051772762,257.95950551802974,False,assets/targets/0045/outlinestim_world1_probe1_1_1.png,assets/targets/0045/outlinestim_world2_probe1_1_0.png,assets/targets/0045/outlinestim_world2_probe1_1_1.png,assets/targets/0045/outlinestim_world1_probe1_1_0.png,teleport_consistent,1,1,2,1,blue,6706711991ae8afb4667b089,1,assets/targets/0045/outlinestim_world1_probe1_1_0.png,0,0,False
4,6452,100,0024,assets/targets/0024/img1_1.png,assets/targets/0024/img1_2.png,assets/targets/0024/img2_1.png,assets/targets/0024/img2_2.png,assets/targets/0024/recording1_1.mp4,assets/targets/0024/recording1_2.mp4,assets/targets/0024/recording2_1.mp4,assets/targets/0024/recording2_2.mp4,392.50547349657757,36.17405762242421,False,assets/targets/0024/outlinestim_world1_probe1_1_1.png,assets/targets/0024/outlinestim_world2_probe1_1_0.png,assets/targets/0024/outlinestim_world2_probe1_1_1.png,assets/targets/0024/outlinestim_world1_probe1_1_0.png,teleport_consistent,1,1,2,1,blue,6706711991ae8afb4667b089,1,assets/targets/0024/outlinestim_world1_probe1_1_0.png,0,100,True
5,9378,0,0069,assets/targets/0069/img1_1.png,assets/targets/0069/img1_2.png,assets/targets/0069/img2_1.png,assets/targets/0069/img2_2.png,assets/targets/0069/recording1_1.mp4,assets/targets/0069/recording1_2.mp4,assets/targets/0069/recording2_1.mp4,assets/targets/0069/recording2_2.mp4,45.99293272938177,282.53465008228795,False,assets/targets/0069/outlinestim_world1_probe2_1_1.png,assets/targets/0069/outlinestim_world2_probe2_1_0.png,assets/targets/0069/outlinestim_world2_probe2_1_1.png,assets/targets/0069/outlinestim_world1_probe2_1_0.png,noteleport_consistent,2,1,2,1,blue,6706711991ae8afb4667b089,1,assets/targets/0069/outlinestim_world1_probe2_1_0.png,0,0,False
6,4137,100,0025,assets/targets/0025/img1_1.png,assets/targets/0025/img1_2.png,assets/targets/0025/img2_1.png,assets/targets/0025/img2_2.png,assets/targets/0025/recording1_1.mp4,assets/targets/0025/recording1_2.mp4,assets/targets/0025/recording2_1.mp4,assets/targets/0025/recording2_2.mp4,275.75178627094397,548.0849702817209,False,assets/targets/0025/outlinestim_world1_probe0_1_1.png,assets/targets/0025/outlinestim_world2_probe0_1_0.png,assets/targets/0025/outlinestim_world2_probe0_1_1.png,assets/targets/0025/outlinestim_world1_probe0_1_0.png,nocol,0,1,1,1,blue,6706711991ae8afb4667b089,1,assets/targets/0025/outlinestim_world2_probe0_1_0.png,0,100,True
7,5219,95,0072,assets/targets/0072/img1_1.png,assets/targets/0072/img1_2.png,assets/targets/0072/img2_1.png,assets/targets/0072/img2_2.png,assets/targets/0072/recording1_1.mp4,assets/targets/0072/recording1_2.mp4,assets/targets/0072/recording2_1.mp4,assets/targets/0072/recording2_2.mp4,263.49876924364594,480.2927000755407,False,assets/targets/0072/outlinestim_world1_probe0_2_1.png,assets/targets/0072/outlinestim_world2_probe0_2_0.png,assets/targets/0072/outlinestim_world2_probe0_2_1.png,assets/targets/0072/outlinestim_world1_probe0_2_0.png,nocol,0,2,1,1,blue,6706711991ae8afb4667b089,1,assets/targets/0072/outlinestim_world2_probe0_2_0.png,0,95,True
8,4208,50,0042,assets/targets/0042/img1_1.png,assets/targets/0042/img1_2.png,assets/targets/0042/img2_1.png,assets/targets/0042/img2_2.png,assets/targets/0042/recording1_1.mp4,assets/targets/0042/recording1_2.mp4,assets/targets/0042/recording2_1.mp4,assets/targets/0042/recording2_2.mp4,302.7180979554031,305.896846954325,False,assets/targets/0042/outlinestim_world1_probe0_1_1.png,assets/targets/0042/outlinestim_world2_probe0_1_0.png,assets/targets/0042/outlinestim_world2_probe0_1_1.png,assets/targets/0042/outlinestim_world1_probe0_1_0.png,nocol,0,1,1,1,blue,6706711991ae8afb4667b089,1,assets/targets/0042/outlinestim_world2_probe0_1_0.png,0,50,True
0,20913,100,0045,assets/targets/0045/img1_1.png,assets/targets/0045/img1_2.png,assets/targets/0045/img2_1.png,assets/targets/0045/img2_2.png,assets/targets/0045/recording1_1.mp4,assets/targets/0045/recording1_2.mp4,assets/targets/0045/recording2_1.mp4,assets/targets/0045/recording2_2.mp4,436.6559051772762,257.95950551802974,False,assets/targets/0045/outlinestim_world1_probe1_2_1.png,assets/targets/0045/outlinestim_world2_probe1_2_0.png,assets/targets/0045/outlinestim_world2_probe1_2_1.png,assets/targets/0045/outlinestim_world1_probe1_2_0.png,teleport_consistent,1,2,2,0,brown,6706a3178e68f852ab949092,1,assets/targets/0045/outlinestim_world2_probe1_2_0.png,0,100,True
1,7830,0,0091,assets/targets/0091/img1_1.png,assets/targets/0091/img1_2.png,assets/targets/0091/img2_1.png,assets/targets/0091/img2_2.png,assets/targets/0091/recording1_1.mp4,assets/targets/0091/recording1_2.mp4,assets/targets/0091/recording2_1.mp4,assets/targets/0091/recording2_2.mp4,360.26329222466995,232.43135081432789,False,assets/targets/0091/outlinestim_world1_probe2_2_1.png,assets/targets/0091/outlinestim_world2_probe2_2_0.png,assets/targets/0091/outlinestim_world2_probe2_2_1.png,assets/targets/0091/outlinestim_world1_probe2_2_0.png,noteleport_consistent,2,2,2,0,brown,6706a3178e68f852ab949092,0,assets/targets/0091/outlinestim_world2_probe2_2_1.png,1,100,True
2,5771,0,0042,assets/targets/0042/img1_1.png,assets/targets/0042/img1_2.png,assets/targets/0042/img2_1.png,assets/targets/0042/img2_2.png,assets/targets/0042/recording1_1.mp4,assets/targets/0042/recording1_2.mp4,assets/targets/0042/recording2_1.mp4,assets/targets/0042/recording2_2.mp4,302.7180979554031,305.896846954325,False,assets/targets/0042/outlinestim_world1_probe1_2_1.png,assets/targets/0042/outlinestim_world2_probe1_2_0.png,assets/targets/0042/outlinestim_world2_probe1_2_1.png,assets/targets/0042/outlinestim_world1_probe1_2_0.png,teleport_consistent,1,2,2,0,brown,6706a3178e68f852ab949092,1,assets/targets/0042/outlinestim_world2_probe1_2_0.png,0,0,False
3,5306,0,0072,assets/targets/0072/img1_1.png,assets/targets/0072/img1_2.png,assets/targets/0072/img2_1.png,assets/targets/0072/img2_2.png,assets/targets/0072/recording1_1.mp4,assets/targets/0072/recording1_2.mp4,assets/targets/0072/recording2_1.mp4,assets/targets/0072/recording2_2.mp4,263.49876924364594,480.2927000755407,False,assets/targets/0072/outlinestim_world1_probe2_1_1.png,assets/targets/0072/outlinestim_world2_probe2_1_0.png,assets/targets/0072/outlinestim_world2_probe2_1_1.png,assets/targets/0072/outlinestim_world1_probe2_1_0.png,noteleport_consistent,2,1,2,0,brown,6706a3178e68f852ab949092,0,assets/targets/0072/outlinestim_world2_probe2_1_1.png,1,100,True
4,6959,100,0025,assets/targets/0025/img1_1.png,assets/targets/0025/img1_2.png,assets/targets/0025/img2_1.png,assets/targets/0025/img2_2.png,assets/targets/0025/recording1_1.mp4,assets/targets/0025/recording1_2.mp4,assets/targets/0025/recording2_1.mp4,assets/targets/0025/recording2_2.mp4,275.75178627094397,548.0849702817209,False,assets/targets/0025/outlinestim_world1_probe0_1_1.png,assets/targets/0025/outlinestim_world2_probe0_1_0.png,assets/targets/0025/outlinestim_world2_probe0_1_1.png,assets/targets/0025/outlinestim_world1_probe0_1_0.png,nocol,0,1,2,0,brown,6706a3178e68f852ab949092,1,assets/targets/0025/outlinestim_world2_probe0_1_0.png,0,100,True
5,4822,0,0064,assets/targets/0064/img1_1.png,assets/targets/0064/img1_2.png,assets/targets/0064/img2_1.png,assets/targets/0064/img2_2.png,assets/targets/0064/recording1_1.mp4,assets/targets/0064/recording1_2.mp4,assets/targets/0064/recording2_1.mp4,assets/targets/0064/recording2_2.mp4,572.435126403118,233.99006146723664,False,assets/targets/0064/outlinestim_world1_probe0_2_1.png,assets/targets/0064/outlinestim_world2_probe0_2_0.png,assets/targets/0064/outlinestim_world2_probe0_2_1.png,assets/targets/0064/outlinestim_world1_probe0_2_0.png,nocol,0,2,2,0,brown,6706a3178e68f852ab949092,0,assets/targets/0064/outlinestim_world2_probe0_2_1.png,1,100,True
6,6432,0,0024,assets/targets/0024/img1_1.png,assets/targets/0024/img1_2.png,assets/targets/0024/img2_1.png,assets/targets/0024/img2_2.png,assets/targets/0024/recording1_1.mp4,assets/targets/0024/recording1_2.mp4,assets/targets/0024/recording2_1.mp4,assets/targets/0024/recording2_2.mp4,392.50547349657757,36.17405762242421,False,assets/targets/0024/outlinestim_world1_probe0_1_1.png,assets/targets/0024/outlinestim_world2_probe0_1_0.png,assets/targets/0024/outlinestim_world2_probe0_1_1.png,assets/targets/0024/outlinestim_world1_probe0_1_0.png,nocol,0,1,2,0,brown,6706a3178e68f852ab949092,1,assets/targets/0024/outlinestim_world2_probe0_1_0.png,0,0,False
