grid,vgc,ours,n_objects
procgen_grid_1,0.33341233105530943,0.28833333333333333,6
procgen_grid_2,0.5723960561980727,0.6128571428571429,7
procgen_grid_3,0.5000213117621229,0.45333333333333337,6
procgen_grid_4,0.5555757328440305,0.6655555555555556,9
procgen_grid_5,0.7990988149774497,0.374,5
procgen_grid_6,0.5474056550538944,0.27799999999999997,5
procgen_grid_7,0.45585424458165147,0.37777777777777777,9
procgen_grid_8,0.42851279792416275,0.22428571428571428,7
procgen_grid_9,0.6615948293124294,0.454,5
procgen_grid_10,0.4043791074470174,0.35625,8
procgen_grid_11,0.600009045921231,0.41,5
procgen_grid_12,0.9999908867737499,0.624,5
procgen_grid_13,0.8750141041641385,0.55625,8
procgen_grid_14,0.3137315202890978,0.29714285714285715,7
procgen_grid_15,0.4286667959414962,0.4257142857142857,7
procgen_grid_16,0.4188213866579563,0.3742857142857143,7
procgen_grid_17,0.600018159147481,0.568,5
procgen_grid_18,0.6659333709898644,0.4811111111111111,9
procgen_grid_19,0.8571493425526718,0.45142857142857146,7
procgen_grid_20,0.8000090795737405,0.908,5
procgen_grid_21,0.43002554993620434,0.2914285714285714,7
procgen_grid_22,1.0,0.8640000000000001,5
procgen_grid_23,0.3998331688758693,0.27799999999999997,5
procgen_grid_24,0.57145685539876,0.2357142857142857,7
procgen_grid_25,0.40085315424093776,0.3,5
procgen_grid_26,0.636544365537816,0.45,7
procgen_grid_27,0.3333740666920695,0.19666666666666666,9
procgen_grid_28,0.3316195624684241,0.2966666666666667,6
procgen_grid_29,0.5714413992806447,0.40285714285714286,7
procgen_grid_30,0.8318271624674775,0.4716666666666667,6
procgen_grid_31,0.8124369312609804,0.70625,8
procgen_grid_32,0.4444671432057198,0.35,9
procgen_grid_33,0.4887295469973218,0.37166666666666665,6
procgen_grid_34,0.3392279248129138,0.25,6
procgen_grid_35,0.5821548201431219,0.49333333333333335,6
procgen_grid_36,0.3513168581132099,0.27,10
procgen_grid_37,0.9676272110599996,0.42800000000000005,5
procgen_grid_38,0.4168790060348407,0.27999999999999997,6
procgen_grid_39,0.4604990968192614,0.35857142857142854,7
procgen_grid_40,0.48306687191231923,0.33714285714285713,7
