grid,nobjects,full_construed,full_search,-full_utility,random_construed,random_search,-random_utility,vgc_construed,vgc_bestconstrued,vgc_search,-vgc_utility,ours_construed,ours_avg_construed,ours_search,-ours_utility
procgen_grid_1,6,6,27.66,19.68,6,26.5,67.05,192,3,1695.9999999999995,19.0,1.57,0.6821503680815334,52.57,22.46
procgen_grid_2,7,7,37.89,19.54,7,28.08,79.89,448,6,3443.2000000000007,19.0,4.1,2.026613928021977,161.91,43.64
procgen_grid_3,6,6,31.88,19.72,6,28.42,58.85,192,4,1755.4999999999995,19.6,2.61,1.2596705595240762,98.51,32.44
procgen_grid_4,9,9,37.38,22.5,9,29.39,86.85,2304,7,14250.000000000005,22.2,6.28,2.6282317166071327,223.44,55.32
procgen_grid_5,5,5,26.52,19.04,5,25.98,62.74,80,4,842.6000000000001,19.0,1.78,0.6205518780273287,51.0,22.36
procgen_grid_6,5,5,23.42,19.02,5,24.27,52.23,80,4,772.7,19.0,1.51,0.565847956724581,50.71,19.67
procgen_grid_7,9,9,23.96,19.0,9,25.37,70.03,2304,7,12946.399999999998,19.0,3.23,0.9883667695106301,75.57,23.18
procgen_grid_8,7,7,24.05,19.0,7,24.57,57.07,448,4,3141.7000000000016,19.0,1.54,0.5576557885158233,52.22,19.81
procgen_grid_9,5,5,26.43,19.14,5,25.33,66.79,80,4,811.6,19.0,2.25,0.8307815896401612,65.61,22.96
procgen_grid_10,8,8,27.0,20.34,8,25.56,73.65,1024,6,6523.7999999999965,20.2,2.9,1.1294421245862736,88.69,26.53
procgen_grid_11,5,5,26.72,19.04,5,26.52,57.07,80,4,810.8,19.0,2.09,0.864619767307225,69.79,25.07
procgen_grid_12,5,5,26.9,19.16,5,26.24,66.85,80,5,798.6999999999999,19.2,3.01,1.1793967045636773,92.34,27.89
procgen_grid_13,8,8,23.98,19.0,8,25.19,78.94,1024,7,6533.8,19.0,4.43,1.313092631844552,90.3,25.99
procgen_grid_14,7,7,22.43,19.0,7,23.72,73.29,448,4,3069.100000000001,19.0,2.11,0.7858373136728422,63.26,20.25
procgen_grid_15,7,7,31.61,19.94,7,27.77,71.22,448,4,3415.1999999999985,19.4,2.94,1.1563944014620697,89.44,29.3
procgen_grid_16,7,7,26.67,19.54,7,25.41,72.56,448,6,3238.2999999999993,19.0,2.42,0.8647325790829187,63.16,24.42
procgen_grid_17,5,5,41.76,21.02,5,31.84,61.72,80,3,911.9000000000001,19.6,2.93,1.4979068215685785,103.66,32.9
procgen_grid_18,9,9,28.55,22.16,9,26.56,75.91,2304,5,13188.500000000007,22.0,4.43,1.4750835757176688,108.05,29.05
procgen_grid_19,7,7,26.99,19.14,7,26.01,76.55,448,6,3303.200000000002,19.2,3.1,1.13105704019872,86.1,27.23
procgen_grid_20,5,5,57.29,19.56,5,35.47,75.8,80,4,931.5,19.8,4.37,2.6783251634381924,266.93,55.4
procgen_grid_21,7,7,24.21,19.0,7,24.3,59.52,448,5,3190.0000000000005,19.0,1.97,0.7335328446108865,60.97,20.98
procgen_grid_22,5,5,34.33,19.6,5,27.13,80.68,80,5,815.8,19.8,4.37,1.9844242608802203,173.14,43.1
procgen_grid_23,5,5,23.81,19.06,5,24.24,56.28,80,3,770.6999999999998,19.0,1.42,0.5874204104045425,53.66,19.48
procgen_grid_24,7,7,26.28,19.02,7,25.83,56.28,448,4,3372.5000000000005,19.0,1.96,0.7466857151798945,61.72,23.04
procgen_grid_25,5,5,24.56,19.02,5,25.3,52.23,80,3,793.9000000000001,19.0,1.36,0.5968891256103592,55.2,20.17
procgen_grid_26,7,7,26.96,19.1,7,24.98,68.45,448,5,3229.7000000000003,19.0,3.29,1.2701297882179015,99.41,27.68
procgen_grid_27,9,9,24.59,19.02,9,24.23,66.02,2304,4,12571.599999999995,19.0,2.01,0.8090264974452188,68.07,21.56
procgen_grid_28,6,6,26.28,19.24,6,26.63,56.34,192,5,1647.8,19.0,1.72,0.6279091473876862,53.13,22.18
procgen_grid_29,7,7,25.83,19.24,7,25.67,77.4,448,4,3166.2,19.0,2.99,1.0845632787507227,81.58,24.65
procgen_grid_30,6,6,27.41,19.92,6,26.53,68.63,192,5,1645.4999999999995,19.6,2.67,0.971140706172655,74.22,24.6
procgen_grid_31,8,8,32.43,23.5,8,27.53,81.66,1024,7,6704.100000000004,23.8,5.64,1.9818273657276757,161.64,35.86
procgen_grid_32,9,9,28.98,21.02,9,26.91,81.89,2304,4,13769.799999999996,20.0,3.22,1.2757319404424836,99.66,27.32
procgen_grid_33,6,6,23.38,19.06,6,25.93,65.17,192,4,1771.9000000000003,19.0,2.33,0.778949230966036,62.42,21.0
procgen_grid_34,6,6,24.43,19.02,6,24.11,48.18,192,4,1562.3999999999999,19.0,1.52,0.5718070771888054,51.87,19.66
procgen_grid_35,6,6,24.32,19.32,6,24.69,74.89,192,4,1558.2,19.2,2.95,1.1706771894452224,96.63,23.43
procgen_grid_36,10,10,23.17,19.04,10,26.35,63.57,5120,5,27519.500000000004,19.0,2.81,0.9558552089944358,71.92,21.76
procgen_grid_37,5,5,25.67,19.3,5,25.24,66.89,80,4,806.7,19.0,2.22,0.7657633848346508,56.71,22.03
procgen_grid_38,6,6,23.11,19.08,6,24.42,61.99,192,4,1551.0000000000002,19.0,1.65,0.6343648336648848,57.09,20.38
procgen_grid_39,7,7,26.04,19.1,7,25.83,66.0,448,5,3319.500000000001,19.0,2.6,0.9440414855567755,73.65,23.08
procgen_grid_40,7,7,26.07,19.08,7,25.69,70.07,448,4,3303.400000000001,19.0,2.26,0.8148721007728332,67.71,21.67
